name,author,description,average_rating,number_of_reviews,top_of,rated_5,rated_4,rated_3,rated_2,rated_1,top_voted_genre,top_voted_votes,2nd_voted_genre,2nd_voted_votes,3rd_voted_genre,3rd_voted_votes
Axiom's End,Lindsay  Ellis,"Truth is a human right.It’s fall 2007. A well-timed leak has revealed that the US government might have engaged in first contact. Cora Sabino is doing everything she can to avoid the whole mess, since the force driving the controversy is her whistleblower father. Even though Cora hasn’t spoken to him in years, his celebrity has caught the attention of the press, the Internet, the paparazzi, and the government—and with him in hiding, that attention is on her. She neither knows nor cares whether her father’s leaks are a hoax, and wants nothing to do with him—until she learns just how deeply entrenched her family is in the cover-up, and that an extraterrestrial presence has been on Earth for decades.Realizing the extent to which both she and the public have been lied to, she sets out to gather as much information as she can, and finds that the best way for her to uncover the truth is not as a whistleblower, but as an intermediary. The alien presence has been completely uncommunicative until she convinces one of them that she can act as their interpreter, becoming the first and only human vessel of communication. Their otherworldly connection will change everything she thought she knew about being human—and could unleash a force more sinister than she ever imagined.",3.81,13205,best-science-fiction-books-2020,3287,5542,3166,943,267,Science Fiction,692,Fiction,330,Science Fiction,76
The Hidden Girl and Other Stories,Ken Liu,"original cover of ISBN 9781982134037From award-winning author Ken Liu comes his much anticipated second volume of short stories.Ken Liu is one of the most lauded short story writers of our time. This collection includes a selection of his science fiction and fantasy stories from the last five years — sixteen of his best — plus a new novelette.In addition to these seventeen selections, The Hidden Girl and Other Stories also features an excerpt from the forthcoming book three in the Dandelion Dynasty series, ""The Veiled Throne"".Contents:- Ghost Days (2013)- Maxwell's Demon (2012)- The Reborn (2014)- Thoughts and Prayers (2019)- Byzantine Empathy (2018)- The Gods Will Not Be Chained (2014)- Staying Behind (2011)- Real Artists (2011)- The Gods Will Not Be Slain (2014)- Altogether Elsewhere, Vast Herds of Reindeer (2011)- The Gods Have Not Died in Vain (2015)- Memories of My Mother (2012)- Dispatches from the Cradle: The Hermit - Forty-Eight Hours in the Sea of Massachusetts (2016)- Grey Rabbit, Crimson Mare, Coal Leopard (2020)- A Chase Beyond the Storms: An excerpt from ""The Veiled Throne"", Book 3 of the Dandelion Dynasty- The Hidden Girl (2017)- Seven Birthdays (2016)- The Message (2012)- Cutting (2012)",3.97,3279,best-science-fiction-books-2020,923,1498,710,117,31,Short Stories,400,Science Fiction,244,Fantasy,177
Riot Baby,Tochi Onyebuchi,"""Riot Baby bursts at the seams of story with so much fire, passion and power that in the end it turns what we call a narrative into something different altogether.""—Marlon JamesRooted in foundational loss and the hope that can live in anger, Riot Baby is both a global dystopian narrative an intimate family story with quietly devastating things to say about love, fury, and the black American experience.Ella and Kev are brother and sister, both gifted with extraordinary power. Their childhoods are defined and destroyed by structural racism and brutality. Their futures might alter the world. When Kev is incarcerated for the crime of being a young black man in America, Ella—through visits both mundane and supernatural—tries to show him the way to a revolution that could burn it all down.",3.85,6374,best-science-fiction-books-2020,1491,2913,1536,365,69,Fantasy,415,Science Fiction,327,Fiction,271
The New Wilderness,Diane  Cook,"A debut novel that explores a mother-daughter relationship in a world ravaged by climate change and overpopulation, a suspenseful second book from the author of the story collection, Man V. Nature.Bea’s five-year-old daughter, Agnes, is slowly wasting away. The smog and pollution of the City—an over-populated, over-built metropolis where most of the population lives—is destroying her lungs. But what can Bea do? No one leaves the City anymore, because there is nowhere else to go. But across the country lies the Wilderness State, the last swath of open, protected land left. Here forests and desert plains are inhabited solely by wildlife. People are forbidden. Until now. Bea, Agnes, and eighteen others volunteer to live in the Wilderness State as part of a study to see if humans can co-exist with nature. Can they be part of the wilderness and not destroy it? Living as nomadic hunter-gatherers, this new community wanders through the grand country, trying to adhere to the strict rules laid down by the Rangers, whose job it is to remind them they must Leave No Trace. As the group slowly learns to live and survive on the unpredictable and often dangerous land, its members battle for power and control and betray and save each other. The farther they roam, the closer they come to their animal soul.To her dismay, Bea discovers that, in fleeing to the Wilderness State to save Agnes, she is losing her in a different way. Agnes is growing wilder and closer to the land, while Bea cannot shake her urban past. As she and Agnes grow further apart, the bonds between mother and daughter are tested in surprising and heartbreaking ways.Yet just as these modern nomads come to think of the Wilderness State as home, its future is threatened when the Government discovers a new use for the land. Now the migrants must choose to stay and fight for their place in the wilderness, their home, or trust the Rangers and their promises of a better tomorrow elsewhere.",3.74,8880,best-science-fiction-books-2020,2033,3567,2395,752,133,Fiction,425,Science Fiction,170,Science Fiction,131
The End of October,Lawrence Wright,"In this riveting medical thriller--from the Pulitzer Prize winner and best-selling author--Dr. Henry Parsons, an unlikely but appealing hero, races to find the origins and cure of a mysterious new killer virus as it brings the world to its knees.At an internment camp in Indonesia, forty-seven people are pronounced dead with acute hemorrhagic fever. When Henry Parsons--microbiologist, epidemiologist--travels there on behalf of the World Health Organization to investigate, what he finds will soon have staggering repercussions across the globe: an infected man is on his way to join the millions of worshippers in the annual Hajj to Mecca. Now, Henry joins forces with a Saudi prince and doctor in an attempt to quarantine the entire host of pilgrims in the holy city... A Russian émigré, a woman who has risen to deputy director of U.S. Homeland Security, scrambles to mount a response to what may be an act of biowarfare... already-fraying global relations begin to snap, one by one, in the face of a pandemic... Henry's wife Jill and their children face diminishing odds of survival in Atlanta... and the disease slashes across the United States, dismantling institutions--scientific, religious, governmental--and decimating the population. As packed with suspense as it is with the fascinating history of viral diseases, Lawrence Wright has given us a full-tilt, electrifying, one-of-a-kind thriller.",3.77,14939,best-science-fiction-books-2020,3512,6105,3986,1084,252,Fiction,453,Thriller,184,Science Fiction,153
The Last Emperox,John Scalzi,"The collapse of The Flow, the interstellar pathway between the planets of the Interdependency, has accelerated. Entire star systems—and billions of people—are becoming cut off from the rest of human civilization. This collapse was foretold through scientific prediction… and yet, even as the evidence is obvious and insurmountable, many still try to rationalize, delay and profit from, these final days of one of the greatest empires humanity has ever known. Emperox Grayland II has finally wrested control of her empire from those who oppose her and who deny the reality of this collapse. But “control” is a slippery thing, and even as Grayland strives to save as many of her people from impoverished isolation, the forces opposing her rule will make a final, desperate push to topple her from her throne and power, by any means necessary. Grayland and her thinning list of allies must use every tool at their disposal to save themselves, and all of humanity. And yet it may not be enough. Will Grayland become the savior of her civilization… or the last emperox to wear the crown?",4.1,18907,best-science-fiction-books-2020,7054,7947,2952,661,293,Science Fiction,628,Fiction,193,Space,132
Agency,William Gibson,"""One of the most visionary, original, and quietly influential writers currently working"" (The Boston Globe) returns with a brand-new novel.In William Gibson's first novel since 2014's New York Times bestselling The Peripheral, a gifted ""app-whisperer,"" hired to beta test a mysterious new product, finds her life endangered by her relationship with her surprisingly street-smart and combat-savvy ""digital assistant.""",3.8,7566,best-science-fiction-books-2020,2068,2834,1902,603,159,Science Fiction,306,Fiction,197,Science Fiction,70
The Vanished Birds,Simon Jimenez,"A mysterious child lands in the care of a solitary woman, changing both of their lives forever in this captivating debut of connection across space and time.""This is when your life begins.""Nia Imani is a woman out of place and outside of time. Decades of travel through the stars are condensed into mere months for her, though the years continue to march steadily onward for everyone she has ever known. Her friends and lovers have aged past her; all she has left is work. Alone and adrift, she lives only for the next paycheck, until the day she meets a mysterious boy, fallen from the sky.A boy, broken by his past.The scarred child does not speak, his only form of communication the beautiful and haunting music he plays on an old wooden flute. Captured by his songs and their strange, immediate connection, Nia decides to take the boy in. And over years of starlit travel, these two outsiders discover in each other the things they lack. For him, a home, a place of love and safety. For her, an anchor to the world outside of herself.For both of them, a family.But Nia is not the only one who wants the boy. The past hungers for him, and when it catches up, it threatens to tear this makeshift family apart.",4.11,3528,best-science-fiction-books-2020,1370,1407,552,157,42,Science Fiction,329,Fiction,133,Fantasy,74
The Book of Koli,M.R. Carey,"Beyond the walls of the small village of Mythen Rood lies an unrecognizable world. A world where overgrown forests are filled with choker trees and deadly vines and seeds that will kill you where you stand. And if they don't get you, one of the dangerous shunned men will.Koli has lived in Mythen Rood his entire life. He knows the first rule of survival is that you don't venture beyond the walls.What he doesn't know is - what happens when you aren't given a choice?The first in a gripping new trilogy, The Book of Koli charts the journey of one unforgettable young boy struggling to find his place in a chilling post-apocalyptic world.",4.06,5374,best-science-fiction-books-2020,1814,2415,884,198,63,Science Fiction,255,Fantasy,152,Fiction,136
Hench,Natalie Zina Walschots,"A smart, imaginative, and evocative novel of love, betrayal, revenge, and redemption, told with razor-sharp wit and affection, in which a young woman discovers the greatest superpower - for good or ill - is a properly executed spreadsheet.Anna does boring things for terrible people because even criminals need office help and she needs a job. Working for a monster lurking beneath the surface of the world isn't glamorous. But is it really worse than working for an oil conglomerate or an insurance company? In this economy?As a temp, she's just a cog in the machine. But when she finally gets a promising assignment, everything goes very wrong, and an encounter with the so-called ""hero"" leaves her badly injured. And, to her horror, compared to the other bodies strewn about, she's the lucky one. So, of course, then she gets laid off.With no money and no mobility, with only her anger and internet research acumen, she discovers her suffering at the hands of a hero is far from unique. When people start listening to the story that her data tells, she realizes she might not be as powerless as she thinks.Because the key to everything is data: knowing how to collate it, how to manipulate it, and how to weaponize it. By tallying up the human cost these caped forces of nature wreak upon the world, she discovers that the line between good and evil is mostly marketing. And with social media and viral videos, she can control that appearance.It's not too long before she's employed once more, this time by one of the worst villains on earth. As she becomes an increasingly valuable lieutenant, she might just save the world.A sharp, witty, modern debut, 'HENCH' explores the individual cost of justice through a fascinating mix of millennial office politics, heroism measured through data science, body horror, and a profound misunderstanding of quantum mechanics.RUNNING TIME ⇒ 14hrs. and 15mins.©2019 Natalie Zina Walschots (P)2020 HarperCollins Publishers",4.11,8816,best-science-fiction-books-2020,3272,3751,1375,319,99,Fantasy,366,Science Fiction,302,Fiction,296
The Mother Code,Carole Stivers,"What it means to be human-and a mother-is put to the test in Carole Stivers' debut novel set in a world that is more chilling and precarious than ever.The year is 2049. When a deadly non-viral agent intended for biowarfare spreads out of control, scientists must scramble to ensure the survival of the human race. They turn to their last resort, a plan to place genetically engineered children inside the cocoons of large-scale robots--to be incubated, birthed, and raised by machines. But there is yet one hope of preserving the human order--an intelligence programmed into these machines that renders each unique in its own right--the Mother Code.   Kai is born in America's desert southwest, his only companion his robot Mother, Rho-Z. Equipped with the knowledge and motivations of a human mother, Rho-Z raises Kai and teaches him how to survive. But as children like Kai come of age, their Mothers transform too--in ways that were never predicted. When government survivors decide that the Mothers must be destroyed, Kai must make a choice. Will he break the bond he shares with Rho-Z? Or will he fight to save the only parent he has ever known?In a future that could be our own, The Mother Code explores what truly makes us human--and the tenuous nature of the boundaries between us and the machines we create.",3.74,1791,best-science-fiction-books-2020,401,748,454,149,39,Science Fiction,157,Fiction,71,Science Fiction,36
Zoey Punches the Future in the Dick,David  Wong,"THE NATIONAL BESTSELLER New York Times bestselling author David Wong's Zoey Punches the Future in the Dick is the latest--and arguably greatest--sci-fi thriller in the Zoey Ashe Series. In the futuristic city of Tabula Ra$a, Zoey Ashe is like a fish so far out of water that it has achieved orbit. After inheriting a criminal empire, the twenty-three year-old finds herself under threat from all sides as a rogue's gallery of larger-than-life enemies think they smell weakness.On the eve of the world's most lavish and ridiculous Halloween celebration, a steamer trunk-sized box arrives at Zoey's door and she is shocked to find that it contains a disemboweled corpse. She is even more shocked when that corpse, controlled by an unknown party, rises and goes on a rampage through the house. Speaking in an electronic voice, it publicly accuses Zoey of being its murderer. This is the kind of thing that almost never happened at her old job.The city was already a ticking time bomb of publicity-hungry vigilantes with superhuman enhancements and Zoey knows this turn of events is unlikely to improve the situation. Now, she and her team of high-tech tricksters have to solve this bizarre murder while simultaneously keeping Tabula Ra$a from descending into chaos.""Biting humor and blatant digs at modern society overlay a subtly brilliant and thoughtful plot"" (Publishers Weekly) in John Dies at the End author David Wong's first installment of the Zoey Ashe Series, Futuristic Violence and Fancy Suits. Now, ""one of today's great satirists"" (Nerdist) is back with Zoey Punches the Future in the Dick, the second installment in a ""Technicolor tomorrowland."" (Kirkus Reviews)",4.18,2373,best-science-fiction-books-2020,964,956,371,71,11,Science Fiction,59,Fiction,30,Humor,16
Age of Deception,T.A. White,"War hero and daughter to two Houses, Kira is just beginning to learn how deep the rabbit hole goes.  Agreeing to accompany her father’s people back to their homeworld, Kira Forrest prepares for the fight of her life. She’s agreed to undertake the Trial of the Broken, a rite of passage every member of her father’s House must pass. It offers a path to independence and freedom that is too tempting to deny.  Not everyone welcomes this lost daughter of Roake. There are those who fear what her presence might bring to light. Betrayal stalks the halls of Kira’s birthplace—its roots embedded deep in the events that claimed her parent’s lives and set her on her current path.  Walking the wire’s edge between truth and deception will test the person Kira has become as she separates ally from betrayer. An old enemy has put into motion a plan that could topple the balance of power in the universe. Letting them succeed spells doom—but the price might be more than Kira is willing to pay.",4.55,5253,best-science-fiction-books-2020,3460,1321,377,73,22,Science Fiction,182,Fantasy,104,Romance,91
The First Sister,Linden A. Lewis,"First Sister has no name and no voice. As a priestess of the Sisterhood, she travels the stars alongside the soldiers of Earth and Mars—the same ones who own the rights to her body and soul. When her former captain abandons her, First Sister’s hopes for freedom are dashed when she is forced to stay on her ship with no friends, no power, and a new captain—Saito Ren—whom she knows nothing about. She is commanded to spy on Captain Ren by the Sisterhood, but soon discovers that working for the war effort is so much harder to do when you’re falling in love.Lito val Lucius climbed his way out of the slums to become an elite soldier of Venus, but was defeated in combat by none other than Saito Ren, resulting in the disappearance of his partner, Hiro. When Lito learns that Hiro is both alive and a traitor to the cause, he now has a shot at redemption: track down and kill his former partner. But when he discovers recordings that Hiro secretly made, Lito’s own allegiances are put to the test. Ultimately, he must decide between following orders and following his heart.",3.9,2554,best-science-fiction-books-2020,760,1030,547,170,47,Science Fiction,382,Fantasy,205,LGBT,167
The Relentless Moon,Mary Robinette Kowal,"The Earth is coming to the boiling point as the climate disaster of the Meteor strike becomes more and more clear, but the political situation is already overheated. Riots and sabotage plague the space program. The IAC's goal of getting as many people as possible off Earth before it becomes uninhabitable is being threatened.Elma York is on her way to Mars, but the Moon colony is still being established. Her friend and fellow Lady Astronaut Nicole Wargin is thrilled to be one of those pioneer settlers, using her considerable flight and political skills to keep the program on track. But she is less happy that her husband, the Governor of Kansas, is considering a run for President.",4.41,4343,best-science-fiction-books-2020,2298,1621,368,39,17,Science Fiction,288,Fiction,90,Science Fiction,82
Mexican Gothic,Silvia Moreno-Garcia,"After receiving a frantic letter from her newly-wed cousin begging for someone to save her from a mysterious doom, Noemí Taboada heads to High Place, a distant house in the Mexican countryside. She’s not sure what she will find—her cousin’s husband, a handsome Englishman, is a stranger, and Noemí knows little about the region.  Noemí is also an unlikely rescuer: She’s a glamorous debutante, and her chic gowns and perfect red lipstick are more suited for cocktail parties than amateur sleuthing. But she’s also tough and smart, with an indomitable will, and she is not afraid: Not of her cousin’s new husband, who is both menacing and alluring; not of his father, the ancient patriarch who seems to be fascinated by Noemí; and not even of the house itself, which begins to invade Noemí’s dreams with visions of blood and doom. Her only ally in this inhospitable abode is the family’s youngest son. Shy and gentle, he seems to want to help Noemí, but might also be hiding dark knowledge of his family’s past. For there are many secrets behind the walls of High Place. The family’s once colossal wealth and faded mining empire kept them from prying eyes, but as Noemí digs deeper she unearths stories of violence and madness.  And Noemí, mesmerized by the terrifying yet seductive world of High Place, may soon find it impossible to ever leave this enigmatic house behind.",3.7,140579,best-horror-books-2020,31045,54839,39436,12130,3129,Horror,4441,Fiction,2312,Historical,2102
If It Bleeds,Stephen King,"Readers adore Stephen King’s novels, and his novellas are their own dark treat, briefer but just as impactful and enduring as his longer fiction. Many of his novellas have been made into iconic films, including “The Body” (Stand By Me) and “Rita Hayworth and Shawshank Redemption” (Shawshank Redemption).Four brilliant new tales in If It Bleeds are sure to prove as iconic as their predecessors. Once again, King’s remarkable range is on full display. In the title story, reader favorite Holly Gibney (from the Mr. Mercedes trilogy and The Outsider) must face her fears, and possibly another outsider—this time on her own. In “Mr. Harrigan’s Phone” an intergenerational friendship has a disturbing afterlife. “The Life of Chuck” explores, beautifully, how each of us contains multitudes. And in “Rat,” a struggling writer must contend with the darker side of ambition.If these novellas show King’s range, they also prove that certain themes endure. One of King’s great concerns is evil, and in If It Bleeds, there’s plenty of it. There is also evil’s opposite, which in King’s fiction often manifests as friendship. Holly is reminded that friendship is not only life-affirming but can be life-saving. Young Craig befriends Mr. Harrigan, and the sweetness of this late-in-life connection is its own reward.",4.05,50689,best-horror-books-2020,16274,23091,9485,1466,373,Horror,1560,Fiction,623,Short Stories,564
The Southern Book Club's Guide to Slaying Vampires,Grady Hendrix,"Fried Green Tomatoes and Steel Magnolias meet Dracula in this Southern-flavored supernatural thriller set in the '90s about a women's book club that must protect its suburban community from a mysterious and handsome stranger who turns out to be a blood-sucking fiend.Patricia Campbell had always planned for a big life, but after giving up her career as a nurse to marry an ambitious doctor and become a mother, Patricia's life has never felt smaller. The days are long, her kids are ungrateful, her husband is distant, and her to-do list is never really done. The one thing she has to look forward to is her book club, a group of Charleston mothers united only by their love for true-crime and suspenseful fiction. In these meetings, they're more likely to discuss the FBI's recent siege of Waco as much as the ups and downs of marriage and motherhood.But when an artistic and sensitive stranger moves into the neighborhood, the book club's meetings turn into speculation about the newcomer. Patricia is initially attracted to him, but when some local children go missing, she starts to suspect the newcomer is involved. She begins her own investigation, assuming that he's a Jeffrey Dahmer or Ted Bundy. What she uncovers is far more terrifying, and soon she—and her book club—are the only people standing between the monster they've invited into their homes and their unsuspecting community.",3.82,68803,best-horror-books-2020,18460,28079,15498,4878,1888,Horror,2879,Fiction,1041,Fantasy,881
The Year of the Witching,Alexis Henderson,"A young woman living in a rigid, puritanical society discovers dark powers within herself in this stunning, feminist fantasy debut.In the lands of Bethel, where the Prophet’s word is law, Immanuelle Moore’s very existence is blasphemy. Her mother’s union with an outsider of a different race cast her once-proud family into disgrace, so Immanuelle does her best to worship the Father, follow Holy Protocol, and lead a life of submission, devotion, and absolute conformity, like all the other women in the settlement.But a mishap lures her into the forbidden Darkwood surrounding Bethel, where the first prophet once chased and killed four powerful witches. Their spirits are still lurking there, and they bestow a gift on Immanuelle: the journal of her dead mother, who Immanuelle is shocked to learn once sought sanctuary in the wood.Fascinated by the secrets in the diary, Immanuelle finds herself struggling to understand how her mother could have consorted with the witches. But when she begins to learn grim truths about the Church and its history, she realizes the true threat to Bethel is its own darkness. And she starts to understand that if Bethel is to change, it must begin with her.",3.82,15614,best-horror-books-2020,3939,6341,4094,1018,222,Fantasy,1425,Horror,1027,Fiction,431
The Only Good Indians,Stephen Graham Jones,"The creeping horror of Paul Tremblay meets Tommy Orange’s There There in a dark novel of revenge, cultural identity, and the cost of breaking from tradition in this latest novel from the Jordan Peele of horror literature, Stephen Graham Jones.
Seamlessly blending classic horror and a dramatic narrative with sharp social commentary, The Only Good Indians follows four American Indian men after a disturbing event from their youth puts them in a desperate struggle for their lives. Tracked by an entity bent on revenge, these childhood friends are helpless as the culture and traditions they left behind catch up to them in a violent, vengeful way.",3.75,26632,best-horror-books-2020,6524,10584,6622,2199,703,Horror,2784,Fiction,757,Thriller,284
Devolution: A Firsthand Account of the Rainier Sasquatch Massacre,Max Brooks,"As the ash and chaos from Mount Rainier’s eruption swirled and finally settled, the story of the Greenloop massacre has passed unnoticed, unexamined . . . until now.But the journals of resident Kate Holland, recovered from the town’s bloody wreckage, capture a tale too harrowing—and too earth-shattering in its implications—to be forgotten. In these pages, Max Brooks brings Kate’s extraordinary account to light for the first time, faithfully reproducing her words alongside his own extensive investigations into the massacre and the legendary beasts behind it. Kate’s is a tale of unexpected strength and resilience, of humanity’s defiance in the face of a terrible predator’s gaze, and inevitably, of savagery and death. Yet it is also far more than that. Because if what Kate Holland saw in those days is real, then we must accept the impossible. We must accept that the creature known as Bigfoot walks among us—and that it is a beast of terrible strength and ferocity. Part survival narrative, part bloody horror tale, part scientific journey into the boundaries between truth and fiction, this is a Bigfoot story as only Max Brooks could chronicle it—and like none you’ve ever read before.",3.92,28265,best-horror-books-2020,8315,12039,5826,1503,582,Horror,1214,Fiction,525,Science Fiction,229
The Hollow Places,T. Kingfisher,"A young woman discovers a strange portal in her uncle’s house, leading to madness and terror in this gripping new novel. Pray they are hungry.Kara finds these words in the mysterious bunker that she’s discovered behind a hole in the wall of her uncle’s house. Freshly divorced and living back at home, Kara now becomes obsessed with these cryptic words and starts exploring the peculiar bunker—only to discover that it holds portals to countless alternate realities. But these places are haunted by creatures that seem to hear thoughts…and the more you fear them, the stronger they become.",3.83,7706,best-horror-books-2020,2000,3247,1787,518,154,Horror,1163,Fantasy,314,Fiction,188
Plain Bad Heroines,Emily M. Danforth,"Our story begins in 1902, at The Brookhants School for Girls. Flo and Clara, two impressionable students, are obsessed with each other and with a daring young writer named Mary MacLane, the author of a scandalous bestselling memoir. To show their devotion to Mary, the girls establish their own private club and call it The Plain Bad Heroine Society. They meet in secret in a nearby apple orchard, the setting of their wildest happiness and, ultimately, of their macabre deaths. This is where their bodies are later discovered with a copy of Mary’s book splayed beside them, the victims of a swarm of stinging, angry yellow jackets. Less than five years later, The Brookhants School for Girls closes its doors forever—but not before three more people mysteriously die on the property, each in a most troubling way. Over a century later, the now abandoned and crumbling Brookhants is back in the news when wunderkind writer, Merritt Emmons, publishes a breakout book celebrating the queer, feminist history surrounding the “haunted and cursed” Gilded-Age institution. Her bestselling book inspires a controversial horror film adaptation starring celebrity actor and lesbian it girl Harper Harper playing the ill-fated heroine Flo, opposite B-list actress and former child star Audrey Wells as Clara. But as Brookhants opens its gates once again, and our three modern heroines arrive on set to begin filming, past and present become grimly entangled—or perhaps just grimly exploited—and soon it’s impossible to tell where the curse leaves off and Hollywood begins. A story within a story within a story and featuring black-and-white period illustrations.",3.67,8833,best-horror-books-2020,2005,3268,2465,832,263,Horror,967,Historical,464,Fiction,403
Malorie,Josh Malerman,"Now from the mind of a true master of suspense comes the next chapter in Bird Box. This time, Malorie is front and center, and she will confront the dangers of her world head-on.Twelve years after Malorie and her children rowed up the river to safety, a blindfold is still the only thing that stands between sanity and madness. One glimpse of the creatures that stalk the world will drive a person to unspeakable violence. There remains no explanation. No solution.All Malorie can do is survive.But then comes what feels like impossible news. And with it, the first time Malorie has allowed herself to hope. Someone very dear to her, someone she believed dead, may be alive.Malorie has a harrowing choice to make: to live by the rules of survival that have served her so well, or to venture into the darkness and reach for hope once more.",3.85,13107,best-horror-books-2020,3285,5582,3329,774,137,Horror,649,Fiction,191,Thriller,144
Tender Is the Flesh,Agustina Bazterrica,"Working at the local processing plant, Marcos is in the business of slaughtering humans —though no one calls them that anymore.His wife has left him, his father is sinking into dementia, and Marcos tries not to think too hard about how he makes a living. After all, it happened so quickly. First, it was reported that an infectious virus has made all animal meat poisonous to humans. Then governments initiated the “Transition.” Now, eating human meat—“special meat”—is legal. Marcos tries to stick to numbers, consignments, processing.Then one day he’s given a gift: a live specimen of the finest quality. Though he’s aware that any form of personal contact is forbidden on pain of death, little by little he starts to treat her like a human being. And soon, he becomes tortured by what has been lost—and what might still be saved.",3.93,13006,best-horror-books-2020,4063,5307,2564,807,265,Horror,913,Fiction,345,Science Fiction,201
The Hollow Ones,Guillermo del Toro,"A horrific crime that defies ordinary explanation. A rookie FBI agent in dangerous, uncharted territory. An extraordinary hero for the ages.Odessa Hardwicke's life is derailed when she's forced to turn her gun on her partner, Walt Leppo, a decorated FBI agent who turns suddenly, inexplicably violent while apprehending a rampaging murderer. The shooting, justified by self-defense, shakes the young FBI agent to her core. Devastated, Odessa is placed on desk leave pending a full investigation. But what most troubles Odessa isn't the tragedy itself-it's the shadowy presence she thought she saw fleeing the deceased agent's body after his death. Questioning her future with the FBI and her sanity, Hardwicke accepts a low-level assignment to clear out the belongings of a retired agent in the New York office. What she finds there will put her on the trail of a mysterious figure named John Silence, a man of enormous means who claims to have been alive for centuries, and who is either an unhinged lunatic, or humanity's best and only defense against unspeakable evil.",3.71,3885,best-horror-books-2020,825,1523,1171,302,64,Horror,294,Fiction,81,Fantasy,70
The Bright Lands,John Fram,"The town of Bentley holds two things dear: its football, and its secrets. But when star quarterback Dylan Whitley goes missing, an unremitting fear grips this remote corner of Texas.Joel Whitley was shamed out of conservative Bentley ten years ago, and while he’s finally made a life for himself as a gay man in New York, his younger brother’s disappearance soon brings him back to a place he thought he’d escaped for good. Meanwhile, Sheriff’s Deputy Starsha Clark stayed in Bentley; Joel’s return brings back painful memories—not to mention questions—about her own missing brother. And in the high school hallways, Dylan’s friends begin to suspect that their classmates know far more than they’re telling the police. Together, these unlikely allies will stir up secrets their town has long tried to ignore, drawing the attention of dangerous men who will stop at nothing to see that their crimes stay buried.But no one is quite prepared to face the darkness that’s begun to haunt their nightmares, whispering about a place long thought to be nothing but an urban legend: an empty night, a flicker of light on the horizon—The Bright Lands.",3.42,2756,best-horror-books-2020,511,848,827,437,133,Horror,272,Mystery,108,Fiction,90
Lakewood,Megan Giddings,"A startling debut about class and race, Lakewood evokes a terrifying world of medical experimentation—part The Handmaid’s Tale, part The Immortal Life of Henrietta Lacks.When Lena Johnson’s beloved grandmother dies, and the full extent of the family debt is revealed, the black millennial drops out of college to support her family and takes a job in the mysterious and remote town of Lakewood, Michigan.On paper, her new job is too good to be true. High paying. No out of pocket medical expenses. A free place to live. All Lena has to do is participate in a secret program—and lie to her friends and family about the research being done in Lakewood. An eye drop that makes brown eyes blue, a medication that could be a cure for dementia, golden pills promised to make all bad thoughts go away.The discoveries made in Lakewood, Lena is told, will change the world—but the consequences for the subjects involved could be devastating. As the truths of the program reveal themselves, Lena learns how much she’s willing to sacrifice for the sake of her family.Provocative and thrilling, Lakewood is a breathtaking novel that takes an unflinching look at the moral dilemmas many working-class families face, and the horror that has been forced on black bodies in the name of science.",3.53,6005,best-horror-books-2020,829,2322,2160,596,98,Horror,474,Fiction,290,Science Fiction,149
Survivor Song,Paul Tremblay,"In a matter of weeks, Massachusetts has been overrun by an insidious rabies-like virus that is spread by saliva. But unlike rabies, the disease has a terrifyingly short incubation period of an hour or less. Those infected quickly lose their minds and are driven to bite and infect as many others as they can before they inevitably succumb. Hospitals are inundated with the sick and dying, and hysteria has taken hold. To try to limit its spread, the commonwealth is under quarantine and curfew. But society is breaking down and the government's emergency protocols are faltering.Dr. Ramola ""Rams"" Sherman, a soft-spoken pediatrician in her mid-thirties, receives a frantic phone call from Natalie, a friend who is eight months pregnant. Natalie's husband has been killed—viciously attacked by an infected neighbor—and in a failed attempt to save him, Natalie, too, was bitten. Natalie's only chance of survival is to get to a hospital as quickly as possible to receive a rabies vaccine. The clock is ticking for her and for her unborn child.Natalie’s fight for life becomes a desperate odyssey as she and Rams make their way through a hostile landscape filled with dangers beyond their worst nightmares—terrifying, strange, and sometimes deadly challenges that push them to the brink. Paul Tremblay once again demonstrates his mastery in this chilling and all-too-plausible novel that will leave readers racing through the pages . . . and shake them to their core.",3.81,13426,best-horror-books-2020,3824,5072,2992,1208,330,Horror,734,Fiction,159,Horror,87
Ring Shout,P. Djèlí Clark,"A dark fantasy historical novella that gives a supernatural twist to the Ku Klux Klan's reign of terror.D. W. Griffith is a sorcerer, and The Birth of a Nation is a spell that drew upon the darkest thoughts and wishes from the heart of America. Now, rising in power and prominence, the Klan has a plot to unleash Hell on Earth.Luckily, Maryse Boudreaux has a magic sword and a head full of tales. When she's not running bootleg whiskey through Prohibition Georgia, she's fighting monsters she calls ""Ku Kluxes."" She's damn good at it, too. But to confront this ongoing evil, she must journey between worlds to face nightmares made flesh--and her own demons. Together with a foul-mouthed sharpshooter and a Harlem Hellfighter, Maryse sets out to save a world from the hate that would consume it.",4.13,10459,best-horror-books-2020,4004,4310,1722,334,89,Fantasy,984,Horror,933,Historical,488
